ID;Source;Target;Weight
1848;Herman;Pelckmans;221
3896;Hasquin;Mortier;103
2546;Ferreyrolles;Versini;84
184;Biard;Leuwers;78
183;Biard;Bourdin;64
2231;Didier;Neefs;63
2455;Pelckmans;Sermain;60
2448;Escola;Omacini;60
2452;Herman;Sermain;60
2447;Escola;Herman;60
2449;Escola;Pelckmans;60
2450;Escola;Sermain;60
2453;Omacini;Pelckmans;60
2454;Omacini;Sermain;60
3365;Kölving;Passeron;60
2451;Herman;Omacini;60
361;Porret;Rosset;59
360;Baczko;Majeur;56
358;Baczko;Rosset;56
357;Baczko;Porret;56
364;Rosset;Farkas;56
362;Porret;Farkas;56
363;Majeur;Porret;56
365;Majeur;Rosset;56
366;Majeur;Farkas;56
359;Baczko;Farkas;56
3053;Herman;Peeters;52
3054;Pelckmans;Peeters;52
186;Bourdin;Leuwers;46
3048;Pelckmans;Rosset;45
3045;Herman;Rosset;45
725;Berchtold;Sermain;44
3049;Herman;Peeters;43
3050;Peeters;Pelckmans;43
727;Ladurie;Sermain;43
3364;Brown;Kölving;34
823;Biard;Serna;34
3851;Minard;Porret;33
3850;Milliot;Porret;33
924;Blanckaert;Porret;32
926;Porret;Brandli;32
3370;Herman;Kozul;29
3371;Kozul;Pelckmans;29
3366;Courcelle;Kölving;29
4164;Porret;Volpilhac-Auger;29
4165;Porret;Salvi;25
3897;Mortier;Trousson;25
717;Berchtold;Porret;23
3352;Mortier;Moureau;23
3350;Knabe;Mortier;23
4166;Porret;Testori;23
3055;Rosset;Peeters;23
3047;Paschoud;Rosset;22
858;Bourdin;Serna;22
3046;Paschoud;Pelckmans;22
859;Leuwers;Serna;22
1126;Bourdin;Loubinoux;22
3044;Herman;Paschoud;22
1125;Borgne;Bourdin;21
1700;Cicchini;Porret;21
176;Antoine;Leuwers;21
180;Antoine;Biard;20
185;Biard;Simien;20
187;Bourdin;Simien;20
188;Leuwers;Simien;20
181;Antoine;Bourdin;20
1993;Dagen;Escola;16
1995;Escola;Rueff;16
1702;Denis;Porret;14
1703;Porret;Milliot;14
847;Biard;Ducange;14
729;Sermain;Vasak;13
1127;Bourdin;Caron;13
1553;Fayet;Porret;13
5084;Kremer;Sermain;12
5086;Sermain;Yen-Mai;12
849;Biard;Pasteur;11
848;Biard;Gainot;11
1494;Bouchet;Bourdin;10
2233;Didier;Planchon;10
1493;Bogani;Bourdin;10
2232;Didier;Hua;10
5391;Kölving;Mervaud;10
2287;Douay;Sermain;9
1552;Cerutti;Porret;8
1128;Bourdin;Chappey;8
4899;Fluckiger;Porret;5
1846;Cormier;Herman;5
178;Jessenne;Leuwers;4
5010;Didier;Sermain;4
1847;Cormier;Pelckmans;4
5306;Montalbetti;Neefs;3
853;Biard;Frétigné;3
3494;Leborgne;Sermain;3
855;Biard;Tourret;2
857;Leuwers;Tourret;2
856;Bourdin;Tourret;2
2236;Calle-Gruber;Didier;2
2235;Didier;Fouque;2
4308;Rosset;Triaire;2
612;Bourdin;Wolff;2
610;Beaurepaire;Bourdin;2
1130;Bernard;Bourdin;2
4002;Bellini;Omacini;1
4167;Fontana;Porret;1
4168;Maugué;Porret;1
3957;Négrel;Sermain;1
5097;Herman;Kremer;1
5098;Herman;Swiatkowska;1
1271;Briegel;Porret;1
1056;Hofmann;Rosset;1
1055;Bossi;Rosset;1
1129;Bourdin;Bras;1
1124;Bourdin;Triolaire;1
1930;Crépin;Leuwers;1
1592;Ortolani;Porret;1
1591;Chauvaud;Porret;1
1589;Chappuis;Porret;1
179;Jourdan;Leuwers;1
822;Biard;Poirson;1
821;Biard;Chevalier;1
818;Bertrand;Biard;1
862;Leuwers;Ômi;1
861;Bourdin;Ômi;1
860;Biard;Ômi;1
735;Berelowitch;Porret;1
714;Berchtold;Rosset;1
3052;Kremer;Pelckmans;1
3051;Herman;Kremer;1
3042;Herman;de Kris Peeters;1
3041;Hallyn;Herman;1
3551;Leuwers;Salas;1
3550;Leuwers;Martin;1
3548;Leuwers;Bernet;1
3491;Le Roy Ladurie;Sermain;1
3239;Hirsch;Leuwers;1
3238;Deregnaucourt;Leuwers;1
3362;Rosset;Zurbuchen;1
3360;Rosset;Griener;1
3358;Kobi;Rosset;1
2239;Neefs;Rolet;1
2238;Didier;Rolet;1
2230;Didier;Ponnau;1
2229;Didier;Tabet;1
2018;Leuwers;Michel;1
2016;Demars-Sion;Leuwers;1
2014;Dauchy;Leuwers;1
2547;Ferreyrolles;Azevedo;1
